Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,TotalSlope,NightSki,TotalLifts,LiftCapacity
Schöneck-Skiwelt-,Germany,760,620,20,3,Yes,6,4324
Indoor ski area SnowWorld Landgraaf,Netherlands,210,150,42,1,Yes,19,5231
Štrbské Pleso,Slovakia,1840,1376,35,8,No,8,7700
Gaissau-Hintersee,Austria,1567,750,35,34,No,9,10110
Kellerjoch-Schwaz,Austria,857,545,29,10,No,6,3786
Hochrindl-Sirnitz,Austria,1886,1540,32,20,Yes,12,7350
La Bresse-Hohneck,France,1350,872,29,21,Yes,18,21515
Silbersattel-Steinach,Germany,842,590,19,4,No,4,3300
Lammeralm-Langenwang,Austria,1230,980,29,8,No,11,2800
Kitzbüheler Horn,Austria,2000,800,40,17,No,9,10110
Myrkdalen,Norway,1060,450,44,30,Yes,9,10279
Loser-Altaussee,Austria,1770,850,40,33,No,8,11114
Christlum-Achenkirch,Austria,1800,950,44,27,No,13,12843
Grasgehren-Bolgengrat,Germany,1700,1400,25,11,No,6,5140
Götschen-Bischofswiesen,Germany,1307,880,25,8,Yes,3,4000
Torrent-Leukerbad,Switzerland,2610,1411,46,47,No,14,11390
Monte Popolo-Eben im Pongau,Austria,1612,862,36,6,No,4,4550
Jochgrimm-Passo Oclini-,Italy,2250,1850,17,7,No,8,3540
Alpe Lusia-Moena-​Bellamonte,Italy,2340,1370,47,27,No,10,16280
Unternberg-Ruhpolding-,Germany,1417,710,20,2,Yes,4,3350
Diavolezza-​Lagalb,Switzerland,3006,2091,59,31,No,11,3970
Kubínska hoľa,Slovakia,1396,720,26,14,No,5,11480
Gålå,Norway,1148,800,43,19,Yes,8,7600
Kvitfjell,Norway,1039,185,45,34,Yes,16,17952
Molines-en-Queyras-​Saint-Véran,France,2800,1750,29,33,No,14,12290
Tatranská Lomnica,Slovakia,2190,888,35,11,No,4,12480
Kanin-Sella Nevea-​Bovec,Slovenia,1103,460,35,10,No,11,11670
Postwiesen Skidorf-Neuastenberg,Germany,730,605,26,8,Yes,9,6762
