song_name,album_name,track_number,popularity,danceability,energy,loudness,mode,instrumentalness,valence,tempo
Distant Early Warning - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",24,15,0.358,0.905,-6.845,1,0.0809,0.562,146.046
Red Barchetta - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",25,16,0.27,0.89,-7.666,1,0.0072,0.321,145.13
Clockwork Angels - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",26,13,0.203,0.929,-6.352,0,0.119,0.202,119.087
The Wreckers - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",27,12,0.378,0.96,-5.299,0,0.0697,0.496,124.247
The Camera Eye - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",28,11,0.187,0.85,-6.24,1,0.124,0.0561,81.438
Losing It - Live R40 Tour,"R40 Live (Live At Air Canada Centre, Toronto, Canada / June 2015)",29,14,0.254,0.713,-6.573,0,0.00871,0.289,133.668
Subdivisions (Live on Clockwork Angels Tour),Clockwork Angels Tour,1,22,0.273,0.936,-4.115,0,0.386,0.23,134.533
The Big Money (Live on Clockwork Angels Tour),Clockwork Angels Tour,2,18,0.22,0.967,-4.082,1,0.632,0.442,142.662
Force Ten (Live on Clockwork Angels Tour),Clockwork Angels Tour,3,17,0.156,0.975,-4.132,1,0.199,0.135,163.402
Grand Designs (Live on Clockwork Angels Tour),Clockwork Angels Tour,4,17,0.269,0.979,-3.974,1,0.0015,0.29,141.052
The Body Electric (Live on Clockwork Angels Tour),Clockwork Angels Tour,5,17,0.343,0.942,-3.797,1,0.0372,0.524,138.72
Territories (Live on Clockwork Angels Tour),Clockwork Angels Tour,6,16,0.365,0.895,-4.264,1,0.0185,0.158,125.667
The Analog Kid (Live on Clockwork Angels Tour),Clockwork Angels Tour,7,17,0.221,0.97,-3.211,0,0.0474,0.314,92.279
Bravado - Live,Clockwork Angels Tour,8,18,0.233,0.921,-4.379,1,0.137,0.178,110.85
Where's My Thing? / Here It Is! (Drum Solo) [Live on Clockwork Angels Tour],Clockwork Angels Tour,9,18,0.307,0.973,-6.462,1,0.753,0.161,131.844
Far Cry,Clockwork Angels Tour,10,15,0.273,0.969,-3.783,1,0.0213,0.341,126.214
Caravan (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,11,15,0.307,0.951,-4.357,1,0.00184,0.236,127.302
Clockwork Angels (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,12,15,0.187,0.917,-4.294,0,0.00174,0.183,119.247
The Anarchist (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,13,15,0.276,0.952,-4.234,1,0.0121,0.32,139.757
Carnies (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,14,13,0.205,0.96,-4.657,1,0.00804,0.238,139.878
